Sentence,Scene Role,Function,Notes
We ate <in></en/in/Time--Time> the afternoon. ,Time,Time,
We ate <during></en/during/Time--Time> the afternoon. ,Time,Time,
We ate <at></en/at/Time--Time> 2:00. ,Time,Time,
We ate <on></en/on/Time--Time> Friday. ,Time,Time,
Let’s talk <at></en/at/Time--Time> lunch.  ,Time,Time,[compare ]
Let’s talk <during></en/during/Time--Time> lunch.  ,Time,Time,[compare ]
They will greet us <on></en/on/Time--Time> our arrival. ,Time,Time,
They will greet us <upon></en/upon/Time--Time> our arrival. ,Time,Time,
I succeeded <on></en/on/Time--Time> the fourth attempt.  ,Time,Time,"[contrast on occasion, ]"
I succeeded <on></en/on/Time--Time> several occasions.  ,Time,Time,"[contrast on occasion, ]"
The lights went out <as></en/as/Time--Time> I opened the door. ,Time,Time,
A bee stung me <as></en/as/Time--Time> I was eating lunch. ,Time,Time,
I will finish <after></en/after/Time--Time> tomorrow. ,Time,Time,
I will finish <after></en/after/Time--Time> lunch. ,Time,Time,
I will finish <after></en/after/Time--Time> you . ,Time,Time,(do)
I will finish <by></en/by/Time--Time> tomorrow. ,Time,Time,
I will finish <by></en/by/Time--Time> lunch. ,Time,Time,
I will contact you <as_soon_as></en/as_soon_as/Time--Time> it’s ready. ,Time,Time,
I will contact you once it’s ready. ,Time,Time,
 I bought a new car—that was <since></en/since/Time--Time> the breakup. ,Time,Time,[‘after’]
"We broke up last year, and I haven’t seen her <since></en/since/Time--Time>.  ",Time,Time,[since we broke up]
The alarm rang at a quarter <after></en/after/Time--Time> 8. ,Time,Time,
The alarm rang at half <past></en/past/Time--Time> 8. ,Time,Time,
The alarm rang 15 minutes <before></en/before/Time--Time> 8.  ,Time,Time,[“15 minutes” modifies the PP]
The guests will arrive <after></en/after/Time--Time> 6:00. ,Time,Time,
the 15th <of></en/of/Time--Whole> March  ,Time,Whole,(Time↝Whole)
the Ides <of></en/of/Time--Whole> March  ,Time,Whole,(Time↝Whole)
March <of></en/of/Time--Whole> 44 BC  ,Time,Whole,(Time↝Whole)
The show will run from 10 a.m. <to></en/to/EndTime--EndTime> 2 p.m. ,EndTime,EndTime,
Add the cider and boil <until></en/until/EndTime--EndTime> the liquid has reduced by half. ,EndTime,EndTime,
If we have survived <up_to></en/up_to/EndTime--EndTime> now what is stopping us from surviving in the future? ,EndTime,EndTime,
They will be in London from March 24 <through></en/through/EndTime--EndTime> May 7. ,EndTime,EndTime,
The show will run <from></en/from/StartTime--StartTime> 10 a.m. to 2 p.m. ,StartTime,StartTime,
a document dating <from></en/from/StartTime--StartTime> the thirteenth century ,StartTime,StartTime,
 I have loved you <since></en/since/StartTime--StartTime> the party where we met.  ,StartTime,StartTime,[‘ever since’]|(StartTime)
He is rude <to></en/to/Beneficiary--Goal> women.  ,Beneficiary,Goal,(Beneficiary↝Goal)
He is condescending <to></en/to/Beneficiary--Goal> women.  ,Beneficiary,Goal,(Beneficiary↝Goal)
We have a solemn responsibility <to></en/to/Beneficiary--Goal> our armed forces.  ,Beneficiary,Goal,(Beneficiary↝Goal)
The strategy is helpful <to></en/to/Beneficiary--Goal> investors.  ,Beneficiary,Goal,(Beneficiary↝Goal)
The strategy poses a risk <to></en/to/Beneficiary--Goal> investors.  ,Beneficiary,Goal,(Beneficiary↝Goal)
The strategy is available <to></en/to/Beneficiary--Goal> investors.  ,Beneficiary,Goal,(Beneficiary↝Goal)
She exhibits rudeness <towards></en/toward/Beneficiary--Direction> customers.  ,Beneficiary,Direction,(Beneficiary↝Direction)
Vote <for></en/for/Beneficiary--Beneficiary> Pedro! ,Beneficiary,Beneficiary,
Vote <against></en/against/Beneficiary--Beneficiary> Pedro! ,Beneficiary,Beneficiary,
Junk food is bad <for></en/for/Beneficiary--Beneficiary> your health. ,Beneficiary,Beneficiary,
My parrot died <on></en/on/Beneficiary--Beneficiary> me. ,Beneficiary,Beneficiary,
These are clothes <for></en/for/Beneficiary--Beneficiary> children. ,Beneficiary,Beneficiary,
"Fortunately <for></en/for/Beneficiary--Beneficiary> the turkey, he received a presidential pardon. ",Beneficiary,Beneficiary,(’s future)
 clothes <for></en/for/Beneficiary--Beneficiary> children ,Beneficiary,Beneficiary,(We sell)
a gallows <for></en/for/Beneficiary--Beneficiary> criminals ,Beneficiary,Beneficiary,
This is the car <for></en/for/Beneficiary--Beneficiary> you!  ,Beneficiary,Beneficiary,[advertising idiom]
This place is great <for></en/for/Beneficiary--Beneficiary> young children. ,Beneficiary,Beneficiary,
This is a great place <for></en/for/Beneficiary--Beneficiary> young children. ,Beneficiary,Beneficiary,
The strategy is beneficial <for></en/for/Beneficiary--Beneficiary> investors.  ,Beneficiary,Beneficiary,(Beneficiary)
The strategy is risky <for></en/for/Beneficiary--Beneficiary> investors.  ,Beneficiary,Beneficiary,(Beneficiary)
The strategy is an option <for></en/for/Beneficiary--Beneficiary> investors.  ,Beneficiary,Beneficiary,(Beneficiary)
John baked a cake <for></en/for/Beneficiary--Beneficiary> Mary.  ,Beneficiary,Beneficiary,"[to help Mary out, andor with the intention of giving her the cake]"
He is gentle and compassionate <with></en/with/Beneficiary--Theme> animals.  ,Beneficiary,Theme,(Beneficiary↝Theme)
These are children<'s></en/'s/Beneficiary--Possessor> clothes.  ,Beneficiary,Possessor,(Beneficiary↝Possessor)
the devastation <from></en/from/Causer--Source> the fire ,Causer,Source,
fatalities <from></en/from/Causer--Source> cancer ,Causer,Source,
FDR suffered <from></en/from/Causer--Source> polio. ,Causer,Source,
the devastation ofTheme the town wreaked <by></en/by/Causer--Causer> the fire ,Causer,Causer,
the devastation <of></en/of/Causer--Gestalt> the fire onTheme the town ,Causer,Gestalt,
the fire<'s></en/'s/Causer--Gestalt> devastation ofTheme the town ,Causer,Gestalt,
The attention <from></en/from/Agent--Source> the staff made us feel welcome.  ,Agent,Source,(Agent↝Source)
I fought in a war <against></en/against/Agent--Beneficiary> the Germans. ,Agent,Beneficiary,
the decisive vote <by></en/by/Agent--Agent> the City Council ,Agent,Agent,
The negotiations <by></en/by/Agent--Agent> the parties went well. ,Agent,Agent,
At the restaurant we were seated <by></en/by/Agent--Agent> the host. ,Agent,Agent,
My business was destroyed <by></en/by/Agent--Agent> Microsoft. ,Agent,Agent,
Why don’t you talk  <with></en/with/Agent--Ancillary> your friend? ,Agent,Ancillary,(*together)
I talked <with></en/with/Agent--Ancillary> my roommate about cleaning duties. ,Agent,Ancillary,
I argued <with></en/with/Agent--Ancillary> my roommate about cleaning duties. ,Agent,Ancillary,
She swapped stories <with></en/with/Agent--Ancillary> her friends. ,Agent,Ancillary,
She chatted <with></en/with/Agent--Ancillary> her friends. ,Agent,Ancillary,
I fought  <with></en/with/Agent--Ancillary> her for a week.  ,Agent,Ancillary,(*together)|(= we argued opposite sides)
Please trade places  <with></en/with/Agent--Ancillary> John. ,Agent,Ancillary,(*together)
I was working <with></en/with/Agent--Ancillary> Michael after lunch. ,Agent,Ancillary,
the decisive vote <of></en/of/Agent--Gestalt> the City Council ,Agent,Gestalt,
the City Council<'s></en/'s/Agent--Gestalt> decisive vote ,Agent,Gestalt,
the president<'s></en/'s/Agent--Gestalt> achievements ,Agent,Gestalt,
they needed Joan<'s></en/'s/Agent--Gestalt> help ,Agent,Gestalt,
There was a war <between></en/between/Agent--Whole> France and Spain.  ,Agent,Whole,(Agent↝Whole)
a discussion <among></en/among/Agent--Whole> the board members  ,Agent,Whole,(Agent↝Whole)
The negotiations <between></en/between/Agent--Whole> the parties went well.  ,Agent,Whole,(Agent↝Whole)
The negotiations <among></en/among/Agent--Whole> the parties went well.  ,Agent,Whole,(Agent↝Whole)
"The book is priced <at></en/at/Cost--Locus> $10. , ",Cost,Locus,
"The book is valued <at></en/at/Cost--Locus> $10. , ",Cost,Locus,
The book is priced <below></en/below/Cost--Locus> $10. ,Cost,Locus,
I bought it <at></en/at/Cost--Locus> a great pricerate. ,Cost,Locus,
I bought the book <for></en/for/Cost--Cost> $10. ,Cost,Cost,
I sold the book <for></en/for/Cost--Cost> $10. ,Cost,Cost,
I got a refund <of></en/of/Cost--Cost> $10. ,Cost,Cost,
You can ride the bus <for></en/for/Cost--Cost> free. ,Cost,Cost,
You can ride the bus <for></en/for/Cost--Cost> $1. ,Cost,Cost,
It feels hot <to></en/to/Experiencer--Goal> me  ,Experiencer,Goal,(Experiencer↝Goal)
That was astounding <to></en/to/Experiencer--Goal> me  ,Experiencer,Goal,(Experiencer↝Goal)
The answer is known <to></en/to/Experiencer--Goal> me  ,Experiencer,Goal,(Experiencer↝Goal)
Running is enjoyable <for></en/for/Experiencer--Beneficiary> me  ,Experiencer,Beneficiary,(Experiencer↝Beneficiary)
The pizza was  salty <for></en/for/Experiencer--Beneficiary> me  ,Experiencer,Beneficiary,(too)|(Experiencer↝Beneficiary)
"<For></en/for/Experiencer--Beneficiary> John, the party was not fun at all.  ",Experiencer,Beneficiary,(Experiencer↝Beneficiary)
"<For></en/for/Experiencer--Beneficiary> John, there was no reason to attend.  ",Experiencer,Beneficiary,(Experiencer↝Beneficiary)
The answer is known <by></en/by/Experiencer--Agent> me  ,Experiencer,Agent,(Experiencer↝Agent)
I agree  <with></en/with/Experiencer--Ancillary> John.  ,Experiencer,Ancillary,(*together)|(= we share the same opinion)
The anger <of></en/of/Experiencer--Gestalt> the students ,Experiencer,Gestalt,
The student<s'></en/'s/Experiencer--Gestalt> anger ,Experiencer,Gestalt,
This is <my></en/'s/Experiencer--Gestalt> favorite movie ,Experiencer,Gestalt,
That is <my></en/'s/Experiencer--Gestalt> opinion ,Experiencer,Gestalt,
That was <my></en/'s/Experiencer--Gestalt> experience ,Experiencer,Gestalt,
<my></en/'s/Experiencer--Gestalt> memories of childhood ,Experiencer,Gestalt,
Talk <on></en/on/Instrument--Locus> the phone.  ,Instrument,Locus,(Instrument↝Locus)
Escape <in></en/in/Instrument--Locus> the getaway car.  ,Instrument,Locus,(Instrument↝Locus)
ride <on></en/on/Instrument--Locus> horseback  ,Instrument,Locus,(Instrument↝Locus)
hold <at></en/at/Instrument--Locus> knifepoint  ,Instrument,Locus,(Instrument↝Locus)
Send it <over></en/over/Instrument--Path> email.  ,Instrument,Path,(Instrument↝Path)
Send it <via></en/via/Instrument--Path> email.  ,Instrument,Path,(Instrument↝Path)
We flew to London <via></en/via/Instrument--Path> Paris.  ,Instrument,Path,(Instrument↝Path)
I found out the news <via></en/via/Instrument--Path> Sharon.  ,Instrument,Path,(Instrument↝Path)
The window was broken <by></en/by/Instrument--Causer> the hammer.  ,Instrument,Causer,(Instrument↝Causer)
My headache was alleviated <by></en/by/Instrument--Causer> aspirin.  ,Instrument,Causer,(Instrument↝Causer)
I broke the window <with></en/with/Instrument--Instrument> a hammer. ,Instrument,Instrument,
I destroyed the argument <with></en/with/Instrument--Instrument> my words. ,Instrument,Instrument,
I accidentally poked myself in the eye <with></en/with/Instrument--Instrument> a stick. ,Instrument,Instrument,
Communicate <by></en/by/Instrument--Instrument> phone.  ,Instrument,Instrument,(Instrument)
Communicate <by></en/by/Instrument--Instrument> email.  ,Instrument,Instrument,(Instrument)
Travel <by></en/by/Instrument--Instrument> train.  ,Instrument,Instrument,(Instrument)
Escape <with></en/with/Instrument--Instrument> a getaway car.  ,Instrument,Instrument,(Instrument)
He responded to my accusation <with></en/with/Instrument--Instrument> dishonest emails.  ,Instrument,Instrument,(Instrument)
works <of></en/of/Originator--Source> Shakespeare  ,Originator,Source,"[cf. , ]"
The story was obtained <from></en/from/Originator--Source> an anonymous White House employee. ,Originator,Source,
I bought it <from></en/from/Originator--Source> this company. ,Originator,Source,
I heard the news <from></en/from/Originator--Source> Larry. ,Originator,Source,
We learned a lot <from></en/from/Originator--Source> Miss Zarves.  ,Originator,Source,(Originator↝Source)
works <by></en/by/Originator--Agent> Shakespeare  ,Originator,Agent,"[cf. , ]"
The telephone was invented <by></en/by/Originator--Agent> Alexander Graham Bell. ,Originator,Agent,
The story was given toRecipient↝Goal her <by></en/by/Originator--Agent> her editor. ,Originator,Agent,
The story was told toRecipient↝Goal her <by></en/by/Originator--Agent> her editor. ,Originator,Agent,
Shakespeare<'s></en/'s/Originator--Gestalt> works  ,Originator,Gestalt,"[cf. , ]"
Rodin<'s></en/'s/Originator--Gestalt> sculptures ,Originator,Gestalt,
the restaurant<'s></en/'s/Originator--Gestalt> food ,Originator,Gestalt,
John<'s></en/'s/Originator--Gestalt> question ,Originator,Gestalt,
John<'s></en/'s/Originator--Gestalt> speech ,Originator,Gestalt,
That was <my></en/'s/Originator--Gestalt> gift toRecipient↝Goal John.  ,Originator,Gestalt,"[contrast , ]"
She gave the story <to></en/to/Recipient--Goal> her editor.  ,Recipient,Goal,(Recipient↝Goal)
She spoke <to></en/to/Recipient--Goal> her editor.  ,Recipient,Goal,(Recipient↝Goal)
What title did you give <to></en/to/Recipient--Goal> your essay?   ,Recipient,Goal,[inanimate]|(Recipient↝Goal)
a message <for></en/for/Recipient--Direction> my mother  ,Recipient,Direction,(Recipient↝Direction)
a gift <for></en/for/Recipient--Direction> my mother  ,Recipient,Direction,(Recipient↝Direction)
a package <for></en/for/Recipient--Direction> the front office  ,Recipient,Direction,(Recipient↝Direction)
news <for></en/for/Recipient--Direction> our readers  ,Recipient,Direction,(Recipient↝Direction)
The news was not well received <by></en/by/Recipient--Agent> the White House. ,Recipient,Agent,
He is yelling <at></en/at/Recipient--Recipient> me to get ready!  ,Recipient,Recipient,(Recipient↝Direction)
"I’ll have to check  <with></en/with/Recipient--Ancillary> my supervisor. , ",Recipient,Ancillary,(*together)
Timmy<'s></en/'s/Recipient--Gestalt> piano lesson  ,Recipient,Gestalt,(Recipient↝Gestalt)
That was <my></en/'s/Recipient--Gestalt> gift fromOriginator↝Source Mary.  ,Recipient,Gestalt,"[contrast , ]"
I am thankful <for></en/for/Stimulus--Explanation> your help.  ,Stimulus,Explanation,(Stimulus↝Explanation)
I am grateful <for></en/for/Stimulus--Explanation> your help.  ,Stimulus,Explanation,(Stimulus↝Explanation)
You should listen <to></en/to/Stimulus--Goal> the music.  ,Stimulus,Goal,(Stimulus↝Goal)
You should pay attention <to></en/to/Stimulus--Goal> the music.  ,Stimulus,Goal,(Stimulus↝Goal)
We were looking <at></en/at/Stimulus--Direction> the photo. ,Stimulus,Direction,
I was angry <at></en/at/Stimulus--Direction> him.  ,Stimulus,Direction,[cf. ]
I startled <at></en/at/Stimulus--Direction> the noise. ,Stimulus,Direction,
Her disdain <for></en/for/Stimulus--Beneficiary> customers was apparent.  ,Stimulus,Beneficiary,(Stimulus↝Beneficiary)
He hasfeels compassion <towards></en/toward/Stimulus--Beneficiary> animals.  ,Stimulus,Beneficiary,(Stimulus↝Beneficiary)
He hasfeels compassion <for></en/for/Stimulus--Beneficiary> animals.  ,Stimulus,Beneficiary,(Stimulus↝Beneficiary)
My affection <for></en/for/Stimulus--Beneficiary> you  ,Stimulus,Beneficiary,(Stimulus↝Beneficiary)
Her disdain <for></en/for/Stimulus--Beneficiary> customers was apparent. ,Stimulus,Beneficiary,
He hasfeels compassion <towards></en/toward/Stimulus--Beneficiary> animals. ,Stimulus,Beneficiary,
He hasfeels compassion <for></en/for/Stimulus--Beneficiary> animals. ,Stimulus,Beneficiary,
Scared <by></en/by/Stimulus--Causer> the bear  ,Stimulus,Causer,(Stimulus↝Causer)
I care <about></en/about/Stimulus--Topic> you. ,Stimulus,Topic,
That’s what I love <about></en/about/Stimulus--Topic> the show. ,Stimulus,Topic,
I took_pride <in></en/in/Stimulus--Topic> the results. ,Stimulus,Topic,
I was proud <of></en/of/Stimulus--Topic> the results. ,Stimulus,Topic,
I was happy <with></en/with/Stimulus--Topic> the results. ,Stimulus,Topic,
I was angry <with></en/with/Stimulus--Topic> him.  ,Stimulus,Topic,[cf. ]
I was inCharacteristic↝Locus love <with></en/with/Stimulus--Topic> him.  ,Stimulus,Topic,[cf. ]
They bored me <with></en/with/Stimulus--Topic> their incessant talk about cats. ,Stimulus,Topic,
They charged $500  the repairs. ,Theme,Purpose,
They asked $500  the repairs. ,Theme,Purpose,
They paid $500  the repairs. ,Theme,Purpose,
They owed $500  the repairs. ,Theme,Purpose,
They  $500 <for></en/for/Theme--Purpose> the repairs. ,Theme,Purpose,
They  $500 <to></en/to/Theme--Purpose> make the repairs. ,Theme,Purpose,
$500 <for></en/for/Theme--Purpose> the repairs was excessive. ,Theme,Purpose,
$500 <to></en/to/Theme--Purpose> make the repairs was excessive. ,Theme,Purpose,
The food was covered <in></en/in/Theme--Locus> grease. ,Theme,Locus,
I’m covered <in></en/in/Theme--Locus> bees! ,Theme,Locus,
I put a hole <in></en/in/Theme--Locus> the box.  ,Theme,Locus,(= punctured the box)
The mechanic made a repair <to></en/to/Theme--Goal> the engine. ,Theme,Goal,
"Due to my injury, I am limited <to></en/to/Theme--Goal> working from home. ",Theme,Goal,
"Due to my injury, I am constrained <to></en/to/Theme--Goal> working from home. ",Theme,Goal,
"Due to my injury, I am restricted <to></en/to/Theme--Goal> working from home. ",Theme,Goal,
It is important to adhere <to></en/to/Theme--Goal> your convictions. ,Theme,Goal,
It is important to keep <to></en/to/Theme--Goal> your convictions. ,Theme,Goal,
It is important to stick <to></en/to/Theme--Goal> your convictions. ,Theme,Goal,
The shin bone is connected <to></en/to/Theme--Goal> the knee bone. ,Theme,Goal,
The training saved us <from></en/from/Theme--Source> almost certain death. ,Theme,Source,
They prevented us <from></en/from/Theme--Source> boarding the plane. ,Theme,Source,
The boys were separated <from></en/from/Theme--Source> the girls. ,Theme,Source,
Keep the dogs <from></en/from/Theme--Source> the cats. ,Theme,Source,
Fill the bowl <with></en/with/Theme--Instrument> water.  ,Theme,Instrument,(Theme↝Instrument)
The food was covered <with></en/with/Theme--Instrument> grease.  ,Theme,Instrument,(Theme↝Instrument)
Quit <with></en/with/Theme--Theme> the whining! ,Theme,Theme,
She helped me <with></en/with/Theme--Theme> my taxes. ,Theme,Theme,
Don’t bother <with></en/with/Theme--Theme> an extra trip. ,Theme,Theme,
Don’t waste time <with></en/with/Theme--Theme> an extra trip. ,Theme,Theme,
I managed to cope <with></en/with/Theme--Theme> the heavy load. ,Theme,Theme,
I managed to cope <with></en/with/Theme--Theme> my fear of heights. ,Theme,Theme,
There’s nothing wrong <with></en/with/Theme--Theme> the engine. ,Theme,Theme,
They replaced my old tires <with></en/with/Theme--Theme> new ones.  ,Theme,Theme,[replacement]
My hovercraft is full <of></en/of/Theme--Theme> eels. ,Theme,Theme,
Sheldukher looked <for></en/for/Theme--Theme> his laser pistol.     ,Theme,Theme,[contrast with transitive verb plus Characteristic in ]
Sheldukher searched <for></en/for/Theme--Theme> his laser pistol.     ,Theme,Theme,[contrast with transitive verb plus Characteristic in ]
Sheldukher fumbled <for></en/for/Theme--Theme> his laser pistol.     ,Theme,Theme,[contrast with transitive verb plus Characteristic in ]
Sheldukher asked <for></en/for/Theme--Theme> his laser pistol. ,Theme,Theme,
Sheldukher made a request <for></en/for/Theme--Theme> his laser pistol. ,Theme,Theme,
There is a significant demand <for></en/for/Theme--Theme> new housing. ,Theme,Theme,
Let’s wait <for></en/for/Theme--Theme> Steve. ,Theme,Theme,
Let’s wait <for></en/for/Theme--Theme> more information. ,Theme,Theme,
Let’s wait <for></en/for/Theme--Theme> the end of the party. ,Theme,Theme,
They substituted new tires <for></en/for/Theme--Theme> my old ones.  ,Theme,Theme,[replacee]
We are ready <for></en/for/Theme--Theme> an upgrade. ,Theme,Theme,
We are eligible <for></en/for/Theme--Theme> an upgrade. ,Theme,Theme,
We are responsible <for></en/for/Theme--Theme> an upgrade. ,Theme,Theme,
We are due <for></en/for/Theme--Theme> an upgrade. ,Theme,Theme,
the approach <of></en/of/Theme--Theme> the waves ,Theme,Theme,
the death <of></en/of/Theme--Theme> a salesman ,Theme,Theme,
the murder <of></en/of/Theme--Theme> a salesman ,Theme,Theme,
The mechanic worked <on></en/on/Theme--Theme> the engine. ,Theme,Theme,
We noshed <on></en/on/Theme--Theme> snacks. ,Theme,Theme,
Students spend a lot of money <on></en/on/Theme--Theme> textbooks. ,Theme,Theme,
There was an increase <in></en/in/Theme--Theme> oil prices. ,Theme,Theme,
They spent $500 <on></en/on/Theme--Theme> the repairs. ,Theme,Theme,
a copy <of></en/of/Theme--Theme> the key ,Theme,Theme,
What happened <to></en/to/Theme--Theme> you? ,Theme,Theme,
This species is specific <to></en/to/Theme--Theme> North America. ,Theme,Theme,
This species is native <to></en/to/Theme--Theme> North America. ,Theme,Theme,
Balancing of risk and reward is inherent <to></en/to/Theme--Theme> the game. ,Theme,Theme,
Bad weather may result <in></en/in/Theme--Theme> a delay. ,Theme,Theme,
Why do people associate bats  <with></en/with/Theme--Ancillary> death? ,Theme,Ancillary,(*together)
You shouldn’t confuse Mozart <with></en/with/Theme--Ancillary> Rossini. ,Theme,Ancillary,
You shouldn’t associate Mozart <with></en/with/Theme--Ancillary> Rossini. ,Theme,Ancillary,
His bicycle collided <with></en/with/Theme--Ancillary> hers. ,Theme,Ancillary,
Combine butter <with></en/with/Theme--Ancillary> vanilla. ,Theme,Ancillary,
the wave<s'></en/'s/Theme--Gestalt> approach ,Theme,Gestalt,
the salesman<'s></en/'s/Theme--Gestalt> death ,Theme,Gestalt,
the salesman<'s></en/'s/Theme--Gestalt> murder ,Theme,Gestalt,
<my></en/'s/Theme--Gestalt> time in grad school ,Theme,Gestalt,
I've never seen that in <my></en/'s/Theme--Gestalt> life ,Theme,Gestalt,
<my></en/'s/Theme--Gestalt> destination ,Theme,Gestalt,
<my></en/'s/Theme--Gestalt> journey ,Theme,Gestalt,
<my></en/'s/Theme--Gestalt> travels ,Theme,Gestalt,
There was a collision in mid-air <between></en/between/Theme--Whole> two light aircraft.  ,Theme,Whole,(Theme↝Whole)
Let us agree <to></en/to/Topic--Goal> the deal.  ,Topic,Goal,(Topic↝Goal)
the answer <to></en/to/Topic--Goal> the question ,Topic,Goal,
my response <to></en/to/Topic--Goal> your question ,Topic,Goal,
I gave a presentation <about></en/about/Topic--Topic>on politics. ,Topic,Topic,
I spoke <about></en/about/Topic--Topic>on politics. ,Topic,Topic,
They wouldn’t stop arguing <over></en/over/Topic--Topic> the plan. ,Topic,Topic,
I was accused <of></en/of/Topic--Topic> treason. ,Topic,Topic,
a picture <of></en/of/Topic--Topic> Whistler’s mother ,Topic,Topic,
three copies <of></en/of/Topic--Topic> the test ,Topic,Topic,
three versions <of></en/of/Topic--Topic> the test ,Topic,Topic,
The ratings <for></en/for/Topic--Topic> this film are atrocious. ,Topic,Topic,
The reviews <for></en/for/Topic--Topic> this film are atrocious. ,Topic,Topic,
I did not hazard a guess <as_to></en/as_to/Topic--Topic> the cause. ,Topic,Topic,
Try not to think <about></en/about/Topic--Topic> it. ,Topic,Topic,
We took a minute to think <over></en/over/Topic--Topic> the situation. ,Topic,Topic,
We took a minute to ponder <over></en/over/Topic--Topic> the situation. ,Topic,Topic,
I plan <on></en/on/Topic--Topic> going again. ,Topic,Topic,
I am focused <on></en/on/Topic--Topic> the task at hand. ,Topic,Topic,
There is not enough research <on></en/on/Topic--Topic> the effects of global warming. ,Topic,Topic,
She was dumbfounded <as_to></en/as_to/Topic--Topic> why the police had done that. ,Topic,Topic,
Think <of></en/of/Topic--Topic> all the possibilities! ,Topic,Topic,
I have no memory <of></en/of/Topic--Topic> the incident. ,Topic,Topic,
I am aware <of></en/of/Topic--Topic> the problem. ,Topic,Topic,
You can have your choice <of></en/of/Topic--Topic> chicken or fish. ,Topic,Topic,
I disagree <with></en/with/Topic--Topic> that statement. ,Topic,Topic,
I am familiar <with></en/with/Topic--Topic> this topic. ,Topic,Topic,
Are you interested <in></en/in/Topic--Topic> politics? ,Topic,Topic,
I’m confident <in></en/in/Topic--Topic> your abilities. ,Topic,Topic,
My daughter excels <in></en/in/Topic--Topic> sports. ,Topic,Topic,
My daughter excels <at></en/at/Topic--Topic> sports. ,Topic,Topic,
I’m an expert <at></en/at/Topic--Topic> baking cookies. ,Topic,Topic,
I’m talented <at></en/at/Topic--Topic> baking cookies. ,Topic,Topic,
I’m good <at></en/at/Topic--Topic> baking cookies. ,Topic,Topic,
I wouldn’t hestitate <in></en/in/Topic--Topic> seeing a doctor.     ,Topic,Topic,"[but see  under Circumstance, which is syntactically parallel]"
Be reasonable <with></en/with/Topic--Topic> your expectations! ,Topic,Topic,
They are transparent <with></en/with/Topic--Topic> their fee. ,Topic,Topic,
The discount should apply <with></en/with/Topic--Topic> other restaurants too. ,Topic,Topic,
I approached the manager <about></en/about/Topic--Topic> the poor service.  ,Topic,Topic,[implied communication]
I am a big baby <about></en/about/Topic--Topic> needles.  ,Topic,Topic,[implied cognition]
The owner wouldn’t budge <on></en/on/Topic--Topic> the price. ,Topic,Topic,
They came through <on></en/on/Topic--Topic> all of their promises. ,Topic,Topic,
She did not do the right thing <for></en/for/Topic--Topic> an item that was marked incorrectly. ,Topic,Topic,
I’m fast <at></en/at/Topic--Topic> baking cookies.  ,Topic,Topic,[cf. ]
They have almost anything you could want <when_it_comes_to></en/when_it_comes_to/Topic--Topic> spy and surveillance equipment . ,Topic,Topic,
They have almost anything you could want <in_terms_of></en/in_terms_of/Topic--Topic> spy and surveillance equipment . ,Topic,Topic,
Let us agree <on></en/on/Topic--Topic> the deal.  ,Topic,Topic,(Topic)
He responded to my accusation <with></en/with/Topic--Topic> falsehoods.  ,Topic,Topic,(Topic)
There was a problem <with></en/with/Topic--Topic> mice in the basement. ,Topic,Topic,
We had a problem <with></en/with/Topic--Topic> mice in the basement. ,Topic,Topic,
I have limited experience <with></en/with/Topic--Topic> numerical methods. ,Topic,Topic,
I had a bad experience <with></en/with/Topic--Topic> a vampire. ,Topic,Topic,
my bad experience <with></en/with/Topic--Topic> a vampire. ,Topic,Topic,
the topicissuequestion <of></en/of/Topic--Identity> semantics ,Topic,Identity,
the idea <of></en/of/Topic--Identity> raising money ,Topic,Identity,
Could you walk <with></en/with/Ancillary--Ancillary> me to the store? 001,Ancillary,Ancillary,
Could you walk <along_with></en/along_with/Ancillary--Ancillary> me to the store? 001,Ancillary,Ancillary,
Could you walk <together_with></en/together_with/Ancillary--Ancillary> me to the store? 001,Ancillary,Ancillary,
Can you go to the store <without></en/without/Ancillary--Ancillary> me? ,Ancillary,Ancillary,
Can we go to the store <together></en/together/Ancillary--Ancillary>? ,Ancillary,Ancillary,
I am admiring the paintings  <with></en/with/Ancillary--Ancillary> my friend ,Ancillary,Ancillary,"(together)|[we probably infer that “friend” is paired with “I”, and thus also admiring or at least viewing the paintings, but this requires pragmatics]"
I am admiring the paintings  <with></en/with/Ancillary--Ancillary> the statues  ,Ancillary,Ancillary,"(together)|(= I am admiring the paintings, and the statues as well)|[we infer that “statues” is paired with “paintings”, and thus also being admired, but this requires pragmatics]"
" <with></en/with/Ancillary--Ancillary> the president, the prime minister signed the declaration ",Ancillary,Ancillary,"(Together)|[explicit: president is together with somebody in the context of signing; inferred: president is together with the prime minister, and they probably both signed]"
I was traveling  <with></en/with/Ancillary--Ancillary> my friendinfant ,Ancillary,Ancillary,(together)
my travels  <with></en/with/Ancillary--Ancillary> my friend ,Ancillary,Ancillary,(together)
I fought  <with></en/with/Ancillary--Ancillary> her to cure cancer.  ,Ancillary,Ancillary,(together)|(= we fought on the same side)
We were sitting <together></en/together/Ancillary--Ancillary>. ,Ancillary,Ancillary,
We were eating <together></en/together/Ancillary--Ancillary>. ,Ancillary,Ancillary,
We were working <together></en/together/Ancillary--Ancillary>. ,Ancillary,Ancillary,
The duck and the chick are <together></en/together/Locus--Ancillary>. ,Ancillary,Ancillary,
a shoulder <to></en/to/Characteristic--Purpose> cry on ,Characteristic,Purpose,
something <to></en/to/Characteristic--Purpose> eat ,Characteristic,Purpose,
